Item Code,Item Name,Spec,Tray Image
AAA2270730100,L07,KMC_LHD,assets/KMC_LHD.png
AAA2270740100,L08,KMC_LHD,assets/KMC_LHD.png
AAA2270750100,L09,KMC_LHD,assets/KMC_LHD.png
AAA2270760100,M01,KMC_LHD,assets/KMC_LHD.png
AAA2287560100,Q06,KMC_RHD,assets/KMC_RHD.png
AAA2287570100,Q07,KMC_RHD,assets/KMC_RHD.png
AAA2287580100,Q08,KMC_RHD,assets/KMC_RHD.png
AAA2287590100,Q09,KMC_RHD,assets/KMC_RHD.png
AAA2270680000,M04,HMC_LHD,assets/HMC_LHD_RHD.png
AAA2270700000,M05,HMC_LHD,assets/HMC_LHD_RHD.png
AAA2270710000,M06,HMC_LHD,assets/HMC_LHD_RHD.png
AAA2270720000,M07,HMC_LHD,assets/HMC_LHD_RHD.png
AAA2287520000,R04,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2287530000,R05,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2287540000,R06,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2287550000,R07,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2270730200,A14,KMC_LHD,assets/KMC_LHD.png
AAA2270740200,A15,KMC_LHD,assets/KMC_LHD.png
AAA2287560200,A18,KMC_RHD,assets/KMC_RHD.png
AAA2415170000,X09,HMC_LHD,assets/HMC_LHD_RHD.png
AAA2415200000,Y01,HMC_LHD,assets/HMC_LHD_RHD.png
AAA2415210000,Y02,HMC_LHD,assets/HMC_LHD_RHD.png
AAA2415220000,Y03,HMC_LHD,assets/HMC_LHD_RHD.png
AAA2415230000,Y04,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2415250000,Y05,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2415280000,Y06,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2415330000,Y07,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2432550000,U05,KMC_LHD,assets/KMC_LHD.png
AAA2432560000,U06,KMC_LHD,assets/KMC_LHD.png
AAA2432570000,U07,KMC_LHD,assets/KMC_LHD.png
AAA2432580000,U08,KMC_LHD,assets/KMC_LHD.png
AAA2432600000,W07,KMC_LHD,assets/KMC_LHD.png
AAA2432610000,W08,KMC_RHD,assets/KMC_RHD.png
AAA2432620000,W09,KMC_RHD,assets/KMC_RHD.png
AAA2432640000,X01,KMC_RHD,assets/KMC_RHD.png
AAA2581150000,A61,KMC_LHD,assets/KMC_LHD.png
AAA2581170000,A63,KMC_LHD,assets/KMC_LHD.png
AAA2581180000,A65,KMC_RHD,assets/KMC_RHD.png
AAA2581200000,A67,KMC_RHD,assets/KMC_RHD.png
AAA2606750000,A68,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2606760000,A69,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2606780000,A70,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2606830000,A71,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2606840000,A72,HMC_RHD,assets/HMC_LHD_RHD.png
AAA2606870000,A74,HMC_RHD,assets/HMC_LHD_RHD.png
